data,label
"[b'rt', b'mayasolovely', b'as', b'woman', b'shouldnt', b'complain', b'cleaning', b'house', b'amp', b'man', b'always', b'take', b'trash']",2
"[b'rt', b'mleew', b'boy', b'dats', b'coldtyga', b'dwn', b'bad', b'cuffin', b'dat', b'hoe', b'st', b'place']",1
"[b'rt', b'urkindofbrand', b'dawg', b'rt', b'sbabylife', b'you', b'ever', b'fuck', b'bitch', b'start', b'cry', b'you', b'confused', b'shit']",1
"[b'rt', b'cganderson', b'vivabased', b'look', b'like', b'tranny']",1
"[b'rt', b'shenikaroberts', b'the', b'shit', b'hear', b'might', b'true', b'might', b'faker', b'bitch', b'told', b'ya']",1
"[b'tmadisonx', b'the', b'shit', b'blows', b'meclaim', b'faithful', b'somebody', b'still', b'fucking', b'hoes']",1
"[b'brighterdays', b'i', b'sit', b'hate', b'another', b'bitch', b'i', b'got', b'much', b'shit', b'going']",1
"[b'selfiequeenbri', b'cause', b'im', b'tired', b'big', b'bitches', b'coming', b'us', b'skinny', b'girls']",1
"[b'amp', b'might', b'get', b'ya', b'bitch', b'back', b'amp', b'thats']",1
"[b'rhythmixx', b'hobbies', b'include', b'fighting', b'mariam', b'bitch']",1
"[b'keeks', b'bitch', b'curves', b'everyone', b'lol', b'i', b'walked', b'conversation', b'like', b'smh']",1
"[b'murda', b'gang', b'bitch', b'gang', b'land']",1
"[b'so', b'hoes', b'smoke', b'losers', b'yea', b'go', b'ig']",1
"[b'bad', b'bitches', b'thing', b'like']",1
"[b'bitch', b'get']",1
"[b'bitch', b'nigga', b'miss']",1
"[b'bitch', b'plz', b'whatever']",1
"[b'bitch', b'love']",1
"[b'bitches', b'get', b'cut', b'everyday', b'b']",1
"[b'black', b'bottle', b'amp', b'bad', b'bitch']",1
"[b'broke', b'bitch', b'cant', b'tell', b'nothing']",1
"[b'cancel', b'bitch', b'like', b'nino']",1
"[b'cant', b'see', b'hoes', b'wont', b'change']",1
"[b'fuck', b'bitch', b'dont', b'even', b'suck', b'dick', b'kermit', b'videos', b'bout', b'fuck', b'ig']",1
"[b'got', b'ya', b'bitch', b'tip', b'toeing', b'hardwood', b'floors', b'httptcocouwqlq']",1
"[b'pussy', b'lips', b'like', b'heaven', b'doors']",1
"[b'hoe', b'hitting']",1
"[b'met', b'pussy', b'ocean', b'dr', b'gave', b'pussy', b'pill']",1
"[b'need', b'trippy', b'bitch', b'fuck', b'hennessy']",1
"[b'spend', b'money', b'want', b'bitch', b'business']",1
"[b'txt', b'old', b'bitch', b'new', b'bitch', b'pussy', b'wetter']",1
"[b'id', b'say', b'im', b'back', b'old', b'old', b'bitches', b'would', b'get', b'excited']",1
"[b'aint', b'bout', b'murder', b'game', b'pussy', b'nigga', b'shut']",1
"[b'youre', b'toes', b'aint', b'done', b'pussy', b'stinks']",1
"[b'im', b'done', b'bitter', b'bitches', b'wrap', b'angry', b'bird', b'theres', b'app']",1
"[b'ya', b'bitch']",1
"[b'aint', b'nothing', b'cut', b'bitch']",1
"[b'jus', b'meet', b'son', b'ya', b'mane', b'ass', b'bitches', b'shots']",1
"[b'lames', b'crying', b'hoes', b'thats', b'tears', b'clown']",1
"[b'like', b'snoop', b'said', b'dont', b'love', b'hoes']",1
"[b'momma', b'said', b'pussy', b'cats', b'inside', b'doghouse']",2
"[b'hated', b'hoes', b'favorite', b'mw', b'sevenone', b'httptcobmdsvmcrc']",1
"[b'nice', b'girls', b'bad', b'make', b'get', b'naughty', b'bad', b'yello', b'hoe', b'real', b'nice', b'body', b'down', b'south', b'chick', b'like', b'em', b'real', b'thick', b'httptcobzrdlkfu']",1
"[b'pimps', b'pimps', b'hoes', b'future', b'voice']",1
"[b'post', b'picture', b'pussy', b'get', b'likes']",1
"[b'pussy', b'powerful', b'drug', b'happyhumpday', b'httptcorjsymibb']",1
"[b'quick', b'piece', b'pussy', b'call', b'drive']",1
"[b'running', b'round', b'like', b'brand', b'new', b'pussy', b'thats', b'bout', b'get', b'fucked']",1
"[b'bitches', b'even', b'worst', b'theyll', b'send', b'guys']",1
"[b'hoes', b'like', b'niggas', b'spend', b'money', b'talk', b'bout']",1
"[b'dont', b'trust', b'niggas', b'bitches']",1
"[b'yall', b'niggas', b'b', b'cuffing', b'hoes', b'cause', b'yall', b'aint', b'never', b'bitches']",1
"[b'dodge', b'bullet', b'darealkha', b'all', b'da', b'bitches', b'i', b'cut', b'pregnant', b'bound', b'thank', b'god']",1
"[b'young', b'pill', b'chamberlain', b'bitches', b'love', b'music']",1
"[b'vandalsavage', b'teanna', b'trump', b'probably', b'cleaner', b'twitter', b'hoes']",1
"[b'dahomiefuzz', b'gay', b'niggas', b'couldnt', b'wait', b'act', b'like', b'bitches', b'tonight']",1
"[b'theparadox', b'and', b'ima', b'steal', b'cat', b'n', b'replace', b'pitbull', b'rt', b'sbabylife', b'theparadox', b'he', b'bitch']",1
"[b'amp', b'hes', b'gone', b'always', b'hoe']",1
"[b'son', b'bitch', b'took', b'tic', b'tacs', b'i', b'like', b'movie']",1
"[b'all', b'i', b'wanna', b'get', b'money', b'fuck', b'model', b'bitches', b'russell', b'simmons']",1
"[b'seniorprobs', b'i', b'probably', b'wouldnt', b'mind', b'school', b'much', b'didnt', b'deal', b'bitch', b'ass', b'teachers', b'retweet']",1
"[b'axdemery', b'im', b'fucking', b'fag', b'said']",1
"[b'arizzleindacut', b'females', b'think', b'dating', b'pussy', b'cute', b'httptcovxbjggsz', b'stuff', b'make', b'pussy']",1
"[b'addictedguys', b'simplyaddictedtoguys', b'httptcojlhizmf', b'woof', b'woof', b'hot', b'scally', b'lad']",2
"[b'adorebellaaa', b'have', b'ya', b'ever', b'asked', b'bitch', b'bitches', b'kanye', b'voice', b'yes']",1
"[b'adorezoey', b'how', b'u', b'gone', b'bring', b'ur', b'side', b'bitch', b'game', b'you', b'know', b'ya', b'gf', b'friends', b'i', b'swear']",1
"[b'allaboutmanfeet', b'httptcogzupfumev', b'woof', b'woof', b'hot', b'soles']",2
"[b'allyhaaaaa', b'lemmie', b'eat', b'oreo', b'amp', b'dishes', b'one', b'oreo', b'lol']",2
"[b'almightywayne', b'jetsandaswisher', b'gook', b'bitch', b'fuck', b'u', b'httptcopxmganc', b'maybe', b'youll', b'get', b'better', b'just', b'httptcotprevwfqs']",1
"[b'almightywayne', b'fuck', b'red', b'malone', b'man', b'bitch', b'ass', b'niggah', b'could', b'please', b'use', b'complete', b'sentences']",1
"[b'arizonasfinest', b'why', b'eggplant', b'emoji', b'doey', b'say', b'looked', b'like', b'scream', b'lmao']",2
"[b'autoworid', b'hennessey', b'venom', b'gt', b'httptcoiegmnkaj', b'thats', b'one', b'sexy', b'bitch']",1
"[b'bossbytchh', b'him', b'seh', b'pussy', b'wetter', b'shower', b'curtainahmesehwetnessltlmao']",1
"[b'brohen', b'eaglesnation', b'every', b'eagles', b'need', b'see', b'pic', b'i', b'posted', b'bitch', b'said', b'racist', b'shit']",1
"[b'bvsedchink', b'yo', b'fuck', b'skateboarding', b'yall', b'wood', b'pushing', b'faggots', b'man', b'ball', b'life', b'httptcovbczphmt', b'amjemiebenn']",1
"[b'babyanimalpics', b'baby', b'monkey', b'bathtime', b'httptcokpwadlfr', b'awwwwe', b'this', b'soooo', b'adorable']",2
"[b'baylaagottabody', b'i', b'aint', b'shit', b'damn', b'skippy', b'lol']",1
"[b'beeasyjrizzy', b'u', b'ever', b'kill', b'ant', b'sidewalk', b'think', b'damn', b'nigga', b'way', b'get', b'pussyno', b'bs', b'must', b'b', b'gtchance']",1
"[b'beenbasedb', b'kudabrazyy', b'httptcoluubglyu', b'rings', b'mvps', b'bitches', b'lol']",1
"[b'beenflynsolo', b'ppl', b'talk', b'bad', b'ghettohood', b'kid', b'growing', b'nigga', b'funnnnnnn']",1
"[b'bestproadvice', b'the', b'facts', b'tattoostattoo', b'httptcozwnbhpdze', b'hes', b'pussy', b'tattooing', b'nipples']",1
"[b'bill', b'rt', b'nelayden', b'bitches', b'wanting', b'act', b'like', b'niggas', b'bad', b'shit', b'aint', b'cuteeeee', b'niggas', b'act', b'like', b'bitches']",1
"[b'bitchjones', b'get', b'worshiping', b'bitch', b'httptcorcejcjou', b'woof', b'woof']",1
"[b'blackchiquitita', b'wow', b'rt', b'thatmanpalmer', b'im', b'lost', b'are', b'buttcheek', b'piercings', b'httptcoynguyouq', b'yeah', b'shes', b'hoe']",1
"[b'blacknerdjade', b'ok', b'sis', b'shed', b'rather', b'broke', b'bitch', b'shrugs', b'shell', b'tell', b'works']",1
"[b'blackmantide', b'whalelookyhere', b'howdydowdy', b'queer', b'gaywad']",0
"[b'brokenpiecesmsc', b'itsnotadam', b'faggot', b'read', b'tweets', b'dat', b'k', b'wasnt', b'even', b'funny', b'lol']",1
"[b'brosconfessions', b'this', b'bitch', b'ungrateful', b'httptcoebgwbx', b'fr', b'lulwhore']",1
"[b'cashandboobies', b'i', b'kidnapped', b'yo', b'bitch']",1
"[b'cbbaby', b'whitethunduh', b'alsarabsss', b'hes', b'beaner', b'smh', b'tell', b'hes', b'mexican']",0
"[b'ccobey', b'aydanmccoy', b'happy', b'birthday', b'nigs', b'thanks', b'yo']",1
"[b'chlldhoodruiner', b'ur', b'teacher', b'tells', b'u', b'u', b'homework', b'httpstcorkkvawij', b'bitch', b'need', b'go']",1
"[b'caelang', b'edham', b'caelang', b'nigga', b'eating', b'hoe', b'lol', b'hell', b'yea', b'lol', b'john', b'paul', b'nigga', b'said', b'john', b'paul', b'httptcoosipbkprh']",1
"[b'canifuckornah', b'what', b'would', b'yall', b'lil', b'ugly', b'bald', b'headed', b'bitches', b'stop', b'making', b'makeup', b'amp', b'weave']",1
"[b'carelessone', b'leafs', b'better', b'win', b'damn', b'game', b'i', b'go', b'riot', b'shit', b'earlychristmas', b'better', b'start', b'looting', b'nig']",1
"[b'causewereguys', b'going', b'back', b'school', b'sucks', b'dick', b'hoes', b'attend']",1
"[b'causewereguys', b'on', b'way', b'fuck', b'yo', b'bitch', b'httptcojtzer', b'year', b'old']",1
"[b'celeynichole', b'whitethunduh', b'come', b'never', b'bring', b'food', b'dont', b'car', b'retard']",1
"[b'chadmfverbeck', b'if', b'richnow', b'doesnt', b'show', b'hella', b'tinder', b'hoes', b'im', b'friend', b'anymore', b'chill', b'i', b'brought', b'like', b'like', b'prople']",1
"[b'chandlerparsons', b'how', b'bout', b'cowboys', b'shutup', b'pussy']",1
"[b'clicquotsuave', b'lmaooooooooooo', b'nigga', b'krillznuhcare', b'httptcoaanpsujmyi', b'ltbitch', b'want', b'likes', b'depressing', b'shitfoh']",1
"[b'coleycee', b'lilaerii', b'girl', b'know', b'i', b'spitting', b'g', b'shit', b'amp', b'going', b'lbvsbitch', b'plz']",1
